Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
11,Austria,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,9,NA
11,Austria,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,26958,NA
11,Austria,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,3554,NA
11,Austria,1016,Goats,5608,Import Quantity,2018,2018,Head,373,NA
11,Austria,1016,Goats,5908,Export Quantity,2018,2018,Head,4000,NA
11,Austria,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,80,NA
11,Austria,1074,"Offals, liver geese",5910,Export Quantity,2018,2018,tonnes,14,NA
11,Austria,1034,Pigs,5608,Import Quantity,2018,2018,Head,607730,NA
11,Austria,1034,Pigs,5908,Export Quantity,2018,2018,Head,38417,NA
11,Austria,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,1,NA
11,Austria,976,Sheep,5608,Import Quantity,2018,2018,Head,175,NA
11,Austria,976,Sheep,5908,Export Quantity,2018,2018,Head,17085,NA
11,Austria,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,1314,R
11,Austria,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,11300,NA
52,Azerbaijan,866,Cattle,5608,Import Quantity,2018,2018,Head,119044,NA
52,Azerbaijan,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,2940,NA
52,Azerbaijan,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,12,NA
52,Azerbaijan,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,3340,NA
52,Azerbaijan,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,2682,NA
52,Azerbaijan,1016,Goats,5608,Import Quantity,2018,2018,Head,250,NA
52,Azerbaijan,976,Sheep,5608,Import Quantity,2018,2018,Head,108595,NA
12,Bahamas,866,Cattle,5608,Import Quantity,2018,2018,Head,13,*
12,Bahamas,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,409,R
12,Bahamas,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,1505,R
12,Bahamas,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,0,*
12,Bahamas,1016,Goats,5608,Import Quantity,2018,2018,Head,4,*
12,Bahamas,1034,Pigs,5608,Import Quantity,2018,2018,Head,7,*
13,Bahrain,866,Cattle,5608,Import Quantity,2018,2018,Head,5586,NA
13,Bahrain,866,Cattle,5908,Export Quantity,2018,2018,Head,358,NA
13,Bahrain,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,184,NA
13,Bahrain,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,3,Im
13,Bahrain,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,71,NA
13,Bahrain,1068,Ducks,5909,Export Quantity,2018,2018,1000 Head,11,NA
13,Bahrain,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,10878,NA
13,Bahrain,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,549,Im
13,Bahrain,1016,Goats,5608,Import Quantity,2018,2018,Head,16602,Im
13,Bahrain,1016,Goats,5908,Export Quantity,2018,2018,Head,9,NA
13,Bahrain,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,0,NA
13,Bahrain,1074,"Offals, liver geese",5910,Export Quantity,2018,2018,tonnes,0,NA
13,Bahrain,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,0,NA
13,Bahrain,976,Sheep,5608,Import Quantity,2018,2018,Head,91961,NA
13,Bahrain,976,Sheep,5908,Export Quantity,2018,2018,Head,9500,F
13,Bahrain,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,10,Im
16,Bangladesh,866,Cattle,5608,Import Quantity,2018,2018,Head,800,R
16,Bangladesh,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,3783,R
16,Bangladesh,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,6,*
16,Bangladesh,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,0,*
16,Bangladesh,1016,Goats,5608,Import Quantity,2018,2018,Head,1177,*
16,Bangladesh,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,0,R
16,Bangladesh,1140,Rabbits and hares,5909,Export Quantity,2018,2018,1000 Head,0,*
16,Bangladesh,976,Sheep,5608,Import Quantity,2018,2018,Head,157,*
14,Barbados,866,Cattle,5608,Import Quantity,2018,2018,Head,42,NA
14,Barbados,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,55,NA
14,Barbados,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,0,NA
14,Barbados,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,1104,NA
14,Barbados,1016,Goats,5908,Export Quantity,2018,2018,Head,13,NA
14,Barbados,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,1,NA
57,Belarus,866,Cattle,5608,Import Quantity,2018,2018,Head,1010,NA
57,Belarus,866,Cattle,5908,Export Quantity,2018,2018,Head,6938,NA
57,Belarus,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,9832,NA
57,Belarus,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,1098,NA
57,Belarus,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,303,NA
57,Belarus,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,2191,NA
57,Belarus,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,33933,NA
57,Belarus,1016,Goats,5608,Import Quantity,2018,2018,Head,13,NA
57,Belarus,1034,Pigs,5608,Import Quantity,2018,2018,Head,2770,NA
57,Belarus,1140,Rabbits and hares,5909,Export Quantity,2018,2018,1000 Head,1,NA
57,Belarus,976,Sheep,5608,Import Quantity,2018,2018,Head,11,NA
57,Belarus,976,Sheep,5908,Export Quantity,2018,2018,Head,21,NA
57,Belarus,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,400,NA
255,Belgium,866,Cattle,5608,Import Quantity,2018,2018,Head,386406,NA
255,Belgium,866,Cattle,5908,Export Quantity,2018,2018,Head,174084,Im
255,Belgium,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,142799,NA
255,Belgium,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,145393,NA
255,Belgium,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,1,NA
255,Belgium,1068,Ducks,5909,Export Quantity,2018,2018,1000 Head,3,NA
255,Belgium,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,30441,Im
255,Belgium,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,134805,NA
255,Belgium,1016,Goats,5608,Import Quantity,2018,2018,Head,2794,NA
255,Belgium,1016,Goats,5908,Export Quantity,2018,2018,Head,427,NA
255,Belgium,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,251,NA
255,Belgium,1074,"Offals, liver geese",5910,Export Quantity,2018,2018,tonnes,88,NA
255,Belgium,1034,Pigs,5608,Import Quantity,2018,2018,Head,1177579,NA
255,Belgium,1034,Pigs,5908,Export Quantity,2018,2018,Head,1197818,NA
255,Belgium,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,2224,NA
255,Belgium,1140,Rabbits and hares,5909,Export Quantity,2018,2018,1000 Head,870,NA
255,Belgium,976,Sheep,5608,Import Quantity,2018,2018,Head,53851,NA
255,Belgium,976,Sheep,5908,Export Quantity,2018,2018,Head,2462,NA
255,Belgium,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,281,NA
255,Belgium,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,136,NA
23,Belize,866,Cattle,5608,Import Quantity,2018,2018,Head,372,NA
23,Belize,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,12,NA
23,Belize,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,119,NA
23,Belize,1034,Pigs,5608,Import Quantity,2018,2018,Head,139,NA
23,Belize,976,Sheep,5608,Import Quantity,2018,2018,Head,235,NA
23,Belize,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,10,NA
53,Benin,866,Cattle,5608,Import Quantity,2018,2018,Head,11000,F
53,Benin,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,76,NA
53,Benin,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,5,NA
53,Benin,1016,Goats,5608,Import Quantity,2018,2018,Head,50000,F
53,Benin,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,0,NA
53,Benin,976,Sheep,5608,Import Quantity,2018,2018,Head,18000,F
18,Bhutan,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,11,R
18,Bhutan,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,0,*
19,Bolivia,866,Cattle,5608,Import Quantity,2018,2018,Head,96,NA
19,Bolivia,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,1702,NA
19,Bolivia,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,99,NA
19,Bolivia,1034,Pigs,5608,Import Quantity,2018,2018,Head,1288,NA
19,Bolivia,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,0,NA
19,Bolivia,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,91,NA
80,Bosnia and Herzegovina,866,Cattle,5608,Import Quantity,2018,2018,Head,24795,NA
80,Bosnia and Herzegovina,866,Cattle,5908,Export Quantity,2018,2018,Head,3502,NA
80,Bosnia and Herzegovina,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,30357,NA
80,Bosnia and Herzegovina,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,6523,NA
80,Bosnia and Herzegovina,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,675,NA
80,Bosnia and Herzegovina,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,1546,NA
80,Bosnia and Herzegovina,1034,Pigs,5608,Import Quantity,2018,2018,Head,18038,NA
80,Bosnia and Herzegovina,1034,Pigs,5908,Export Quantity,2018,2018,Head,12356,NA
80,Bosnia and Herzegovina,976,Sheep,5608,Import Quantity,2018,2018,Head,84894,NA
20,Botswana,866,Cattle,5608,Import Quantity,2018,2018,Head,1592,Im
20,Botswana,866,Cattle,5908,Export Quantity,2018,2018,Head,97,R
20,Botswana,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,512,NA
20,Botswana,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,0,NA
20,Botswana,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,221,NA
20,Botswana,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,42,NA
20,Botswana,1016,Goats,5608,Import Quantity,2018,2018,Head,5086,NA
20,Botswana,1016,Goats,5908,Export Quantity,2018,2018,Head,17,NA
20,Botswana,1034,Pigs,5608,Import Quantity,2018,2018,Head,16,NA
20,Botswana,1034,Pigs,5908,Export Quantity,2018,2018,Head,9,NA
20,Botswana,976,Sheep,5608,Import Quantity,2018,2018,Head,1265,NA
20,Botswana,976,Sheep,5908,Export Quantity,2018,2018,Head,266,NA
21,Brazil,866,Cattle,5608,Import Quantity,2018,2018,Head,32,NA
21,Brazil,866,Cattle,5908,Export Quantity,2018,2018,Head,653290,NA
21,Brazil,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,100,NA
21,Brazil,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,22906,NA
21,Brazil,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,248,NA
21,Brazil,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,23824,NA
21,Brazil,1016,Goats,5908,Export Quantity,2018,2018,Head,4,NA
21,Brazil,1034,Pigs,5608,Import Quantity,2018,2018,Head,1335,NA
21,Brazil,1034,Pigs,5908,Export Quantity,2018,2018,Head,8611,NA
21,Brazil,976,Sheep,5608,Import Quantity,2018,2018,Head,48,NA
21,Brazil,976,Sheep,5908,Export Quantity,2018,2018,Head,2,NA
21,Brazil,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,1,NA
